NAME	X	Y
TYPE	numeric	numeric
MGH36_P6_C06	0.427370779	0.637446024
MGH36_P6_C07	0.584711509	0.252723877
MGH36_P6_C08	1.367923561	0.876585069
MGH36_P6_C09	0.708816139	0.583158596
MGH36_P6_C11	0.530627617	0.275736874
MGH36_P6_C12	0.45556574	0.354242819
MGH36_P6_D03	0.430295294	0.321937307
MGH36_P6_D04	0.848801686	0.241115036
MGH36_P6_D06	0.665191253	0.42937512
MGH36_P6_D07	0.765810903	0.551099272
MGH36_P6_D08	0.266715437	0.477584435
MGH36_P6_D10	0.671089682	0.194403871
MGH36_P6_D11	0.458449278	0.527884496
MGH36_P6_E02	0.439866239	0.033238937
MGH36_P6_E03	0.101949187	0.043322905
MGH36_P6_E04	1.159415408	0.783930261
MGH36_P6_E05	0.612215608	0.421199955
MGH36_P6_E06	0.556506289	0.411039826
MGH36_P6_E07	0.524570682	0.330544095
MGH36_P6_E08	0.423010573	0.416157019
MGH36_P6_E09	0.363358672	0.500760015
MGH36_P6_E10	0.645477808	0.354220909
MGH36_P6_E12	0.552012667	0.43877152
